Typee,Pretty Typee,Individual,Tree Size,Tree Depth,Diversity,Semantic Diversity
{ x:Integer where ((&& ((>[??] x) 0)) ((<[??] x) 10)) },Smaller than 10 Natural,(if (((\fresh_952:Integer -> (!=Int -433)) (if True then (if True then 102 else 218) else (if (if False then True else True) then -3 else -138))) 522) then 1 else (if (if False then ((\fresh_959:Integer -> False) 115) else ((\fresh_965:Integer -> True) (if (! True) then -538 else -209))) then ((if ((\fresh_969:Integer -> (! True)) 126) then (\fresh_967:Integer -> 1) else (\fresh_967:Integer -> (if False then fresh_967 else 1))) (if (if True then True else False) then 397 else (if (! False) then 429 else 281))) else (if False then 1 else (if False then 1 else 1)))),72,8,6877.119,1
{ x:Integer where ((&& ((>[??] x) 0)) ((<[??] x) 10)) },Smaller than 10 Natural,1,1,1,2083.0,1
{ x:Integer where ((&& ((>[??] x) 0)) ((<[??] x) 10)) },Smaller than 10 Natural,(if True then ((\fresh_993:Boolean -> ((if True then (\fresh_998:String -> 1) else (if False then string_length else string_length)) "EiJSPipZXrEdpQRYMTcbWtTDspxGoVPuadshEHiuSecxmrLECSBofafmfkcHfqzUYKavlIPcnGHOXpvbpvEa")) (if ((|| True) True) then ((\fresh_996:Boolean -> True) False) else False)) else 1),26,7,3289.371,1
{ x:Integer where ((&& ((>[??] x) 0)) ((<[??] x) 10)) },Smaller than 10 Natural,(if False then 1 else 1),4,2,2119.541,1
{ x:Integer where ((&& ((>[??] x) 0)) ((<[??] x) 10)) },Smaller than 10 Natural,1,1,1,2083.0,1
{ x:Integer where ((&& ((>[??] x) 0)) ((<[??] x) 10)) },Smaller than 10 Natural,1,1,1,2083.0,1
{ x:Integer where ((&& ((>[??] x) 0)) ((<[??] x) 10)) },Smaller than 10 Natural,1,1,1,2083.0,1
{ x:Integer where ((&& ((>[??] x) 0)) ((<[??] x) 10)) },Smaller than 10 Natural,1,1,1,2083.0,1
{ x:Integer where ((&& ((>[??] x) 0)) ((<[??] x) 10)) },Smaller than 10 Natural,(if ((if (if True then True else (if False then True else True)) then (\fresh_999:Boolean -> True) else (if (! True) then (if True then (|| False) else !) else !)) (! ((\fresh_1001:Boolean -> fresh_1001) (if (if (! False) then False else True) then False else (if (if True then True else False) then False else True))))) then 1 else 1),45,8,4628.133,1
{ x:Integer where ((&& ((>[??] x) 0)) ((<[??] x) 10)) },Smaller than 10 Natural,1,1,1,2083.0,1
{ x:Integer where ((&& ((>[??] x) 0)) ((<[??] x) 10)) },Smaller than 10 Natural,((if False then (if (if (if True then ((\fresh_1030:Integer -> False) 232) else True) then True else ((\fresh_1031:Object -> (! True)) -283)) then (\fresh_1016:String -> 1) else ((\fresh_1037:Boolean -> ((\fresh_1038:Integer -> string_length) -109)) True)) else (\fresh_1016:String -> ((\fresh_1039:Integer -> 1) -291))) (if True then ((if ((\fresh_1018:Integer -> True) (if True then -681 else -129)) then (\fresh_1017:Integer -> "lUpwacewZDRMIcLYSZEjUDczzVrrsEJMbEZrmlBDrGhPqkHUh") else (\fresh_1017:Integer -> "BfJpEpfjXmnLvRyfhrfCmoEjHQWuyvUdDAyDsRagDAegOCqrCaFPUMVFGrzricstDXJBYVpRQuYtAmkkBzLdRXNPIFp")) 634) else (((\fresh_1021:Boolean -> (\fresh_1020:Integer -> "sHAEFFxTSMNbNwuyaXYpRhIpDiqrcVhhkkoOBbDGgqFImOJZSmVPRPwLOzgzlsWcuvUWyPxXxZLiGwsZqUSgvFleTBwbkwFGtswAJKZzqIBsVASNnWFZLTTtXmhSwwFaCIPQgGgAiWatnVsfgIemgSmTDGazyaWNxdUiyVNLeuOTOgBZbKvrhdDLxXyDGDSFVjyRvxDIwJsuoIJ")) (if False then True else True)) (if True then (if (if True then True else False) then 217 else -121) else (if False then (if False then 121 else -23) else -931))))),74,8,7009.268,1
{ x:Integer where ((&& ((>[??] x) 0)) ((<[??] x) 10)) },Smaller than 10 Natural,1,1,1,2083.0,1
{ x:Integer where ((&& ((>[??] x) 0)) ((<[??] x) 10)) },Smaller than 10 Natural,1,1,1,2083.0,1
{ x:Integer where ((&& ((>[??] x) 0)) ((<[??] x) 10)) },Smaller than 10 Natural,1,1,1,2083.0,1
{ x:Integer where ((&& ((>[??] x) 0)) ((<[??] x) 10)) },Smaller than 10 Natural,1,1,1,2083.0,1
{ x:Integer where ((&& ((>[??] x) 0)) ((<[??] x) 10)) },Smaller than 10 Natural,(if ((\fresh_1041:Integer -> False) 763) then (if True then 1 else ((\fresh_1042:Boolean -> 1) ((\fresh_1043:Object -> True) False))) else 1),16,6,2647.457,1
{ x:Integer where ((&& ((>[??] x) 0)) ((<[??] x) 10)) },Smaller than 10 Natural,(if ((if (if True then (if (if True then True else True) then True else False) else (! (if (! False) then True else False))) then (if True then (\fresh_1044:Integer -> True) else (if False then (if False then (==Int -174) else (\fresh_1044:Integer -> True)) else (\fresh_1044:Integer -> True))) else (\fresh_1044:Integer -> ((\fresh_1055:Integer -> False) 288))) -2) then ((if True then (\fresh_1056:Boolean -> (if True then 1 else 1)) else (if (! False) then (\fresh_1056:Boolean -> 1) else (\fresh_1056:Boolean -> (if (! fresh_1056) then 1 else 1)))) True) else (((if ((if False then ! else !) True) then (\fresh_1096:Integer -> (\fresh_1095:Boolean -> 1)) else (\fresh_1096:Integer -> (\fresh_1095:Boolean -> 1))) (if (! False) then -251 else (if False then -190 else 244))) True)),88,8,8215.778,1
{ x:Integer where ((&& ((>[??] x) 0)) ((<[??] x) 10)) },Smaller than 10 Natural,(if (((\fresh_1141:Integer -> ((if False then !=Int else <=Int) 222)) 111) 554) then 1 else ((\fresh_1145:Top -> 1) (if True then 1071.4019830309076 else +))),20,7,2964.051,1
